Ê³ÎïÃû³Æ,ÄÜÁ¿£¨Ç§¿¨£©,µ°°×ÖÊ£¨¿Ë£©,Ö¬·¾£¨¿Ë£©,Ì¼Ë®»¯ºÏÎï£¨¿Ë£©,´ÖÏËÎ¬£¨¿Ë£©,µ¥²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,¶à²»±¥ºÍÖ¬·¾Ëá£¨¿Ë£©,ºúÂÜ²·ËØ£¨Î¢¿Ë£©,Ò¶»ÆËØÀà£¨Î¢¿Ë£©,¸Æ£¨ºÁ¿Ë£©,Ã¾£¨ºÁ¿Ë£©,ÄÆ£¨ºÁ¿Ë£©,¼Ø£¨ºÁ¿Ë£©,Á×£¨ºÁ¿Ë£©,Áò£¨ºÁ¿Ë£©,ÂÈ£¨ºÁ¿Ë£©,Ìú£¨ºÁ¿Ë£©,Ð¿£¨ºÁ¿Ë£©,Îø£¨Î¢¿Ë£©,Í­£¨ºÁ¿Ë£©,ÃÌ£¨ºÁ¿Ë£©,Î¬ÉúËØA£¨Î¢¿Ë£©,Î¬ÉúËØC£¨ºÁ¿Ë£©,Î¬ÉúËØE£¨ºÁ¿Ë£©,Î¬ÉúËØB1£¨Áò°·ËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB2£¨ºË»ÆËØ£©£¨ºÁ¿Ë£©,Î¬ÉúËØB3£¨ÑÌËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB4£¨µ¨¼î£©£¨ºÁ¿Ë£©,Î¬ÉúËØB5£¨·ºËá£©£¨ºÁ¿Ë£©,Î¬ÉúËØB6£¨ºÁ¿Ë£©,Î¬ÉúËØB9£¨Ò¶Ëá£©£¨Î¢¿Ë£©,Î¬ÉúËØB12£¨Î¢¿Ë£©,Î¬ÉúËØB14£¨Ìð²Ë¼î£©£¨ºÁ¿Ë£©,ÁÁ°±Ëá£¨ºÁ¿Ë£©,µ°°±Ëá£¨ºÁ¿Ë£©,ËÕ°±Ëá£¨ºÁ¿Ë£©,Àµ°±Ëá£¨ºÁ¿Ë£©,É«°±Ëá£¨ºÁ¿Ë£©,çÓ°±Ëá£¨ºÁ¿Ë£©,×é°±Ëá£¨ºÁ¿Ë£©,ÒìÁÁ°±Ëá£¨ºÁ¿Ë£©
õ|Óã£¨÷ªÓã£©,89,20.2,0.9,0,0,0.1,0.3,0,0,21,18,54.8,357,228,188.67,84.5,1.1,0.81,51.09,0.05,0.07,0,0,0,0.01,0.05,3,0,0,0,0,0,0,1655,577,943,1854,232,1023,429,976
·ÛÌõ,339,0.5,0.1,84.2,0.6,0,0,0,0,35,11,9.6,18,23,0,14.8,5.2,0.83,2.18,0.18,0.16,0,0,0,0.01,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Íã¶¹·ÛË¿,368,0.4,0,91.7,0.3,0,0,0,0,10,4,5,6,9,0,7.71,3.5,0.32,0,0.05,0.09,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
´óÂé×Ñ£¨ÍÑ¿Ç£©,553,31.56,48.75,8.67,4,5.4,38.1,7,0,70,700,5,1200,1650,380.155,7.71,7.95,9.9,0,1.6,7.6,3.3,0.5,0.8,1.275,0.285,9.2,0,0,0.6,110,0,0,2163,933,1269,1276,369,1777,969,1286
ÂûÔ½Ý®Ö­,46,0.39,0.13,12.2,0.1,0.023,0.07,27,68,8,6,2,77,13,0.000963,3.084,0.25,0.1,0.1,0.055,0,13.5,9.3,1.2,0.009,0.018,0.091,3.3,0,0.052,1,0,0,0,0,0,0,0,0,0,0
ºïÃæ°üÊ÷·Û,250,3.69,0.47,79.65,44.5,0.169,0.163,0,0,342,158,10,2189,47,0.00321,15.42,8.42,0.92,0,0,0,0,173.2,0,0.03,0.074,19.983,0,0,2.414,43,0,0,0,0,0,0,0,0,0,0
Î÷¹Ï,30,0.61,0.15,7.55,0.4,0.037,0.05,303,86,7,10,1,112,11,1.82753,1.542,0.24,0.1,0.4,0.042,0.038,170.7,8.1,0.05,0.033,0.021,0.178,4.1,0.221,0.045,3,0,0.3,18,6,27,62,7,16,6,19
Ïã½¶Ïã¹Ï,21,0.84,0.2,4.06,0.3,0,0,0,0,13,10,11,140,9,0.00214,16.962,0.21,0.14,0.4,0.035,0.036,0,8.1,0,0.02,0.018,0.46,0,0.07,0.05,20,0,0,0,0,0,0,0,0,0,0
Î÷¹Ï£¨¾©ÐÀÒ»ºÅ£©,34,0.5,0,8.1,0.2,0,0,0,0,10,11,4.2,79,13,0,6.48,0.7,0.1,0.08,0.02,0.05,0,7,0.03,0.02,0.04,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ìð¹Ï£¨Ïã¹Ï£©,27,0.4,0.1,6.2,0.4,0.002,0.039,0,26,14,11,8.8,139,17,1.77,13.57,0.7,0.09,0.4,0.04,0.04,0,15,0.47,0.02,0.03,0.3,7.6,0.084,0.163,8,0,0,17,2,12,15,2,14,6,10
Î÷¹Ï£¨Ö£ÖÝÈýºÅ£©,26,0.6,0.1,5.7,0.2,0,0,0,0,4,10,2.4,115,11,0,3.7,0.2,0.07,0.1,0.04,0.01,0,4,0.13,0.02,0.04,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¹þÃÜ¹Ï,34,0.84,0.19,8.16,0.9,0.003,0.081,2036,27,9,12,16,267,15,3.11839,24.672,0.21,0.18,0.4,0.041,0.041,1014.6,36.7,0.05,0.041,0.019,0.734,7.6,0.105,0.072,21,0,0.1,29,12,17,30,2,33,15,21
Î÷¹Ï,26,0.6,0.1,5.8,0.3,0.037,0.05,303,86,8,8,3.2,87,9,2.73,4.93,0.3,0.1,0.17,0.05,0.05,0,6,0.1,0.02,0.03,0.2,4.1,0.221,0.045,3,0,0,18,4,13,18,4,20,9,18
ÁéÃÛ¹Ï,4,0.5,0.1,0.4,0.4,0,0,0,0,12,0,5.2,62,1,0,8.02,0.5,0,0.2,0,0.01,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ä¾¹Ï,43,0.47,0.26,10.82,1.7,0.072,0.058,276,678,20,21,8,182,10,0.432461,12.336,0.25,0.08,0.6,0.045,0.04,285,60.9,0.3,0.023,0.027,0.357,6.1,0.191,0.038,37,0,0,16,2,11,25,8,10,5,8
ÃÛ¹Ï,36,0.54,0.14,9.09,0.8,0.003,0.059,30,27,6,10,18,228,11,2.41407,27.756,0.17,0.09,0.7,0.024,0.027,15,18,0.02,0.038,0.012,0.418,7.6,0.155,0.088,19,0,0,16,5,13,18,5,18,5,13
ÑîÌÒ,31,1.04,0.33,6.73,2.8,0.03,0.184,49,66,3,10,2,133,12,4.5165,3.084,0.08,0.12,0.6,0.137,0.037,18.3,34.4,0.15,0.014,0.016,0.367,7.6,0.391,0.017,12,0,0,77,21,44,77,8,50,8,44
Á«Îí,25,0.6,0.3,5.7,0,0,0,0,0,29,5,0,123,8,0.00214,0,0.07,0.06,0,0.016,0.029,101.7,22.3,0,0.02,0.03,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
É½Öñ,73,0.41,0.58,17.91,1.8,0,0,17,9,12,13,7,48,8,0.005778,10.794,0.3,0.21,0,0.069,0.102,10.5,2.9,0,0.054,0.054,0.286,0,0.032,0.018,31,0,0,0,0,0,0,0,0,0,0
°×½ð¹Ï,25,0.4,0,6.2,0.5,0,0,0,0,12,10,1.6,182,13,0.01,2.47,0.4,0.26,0.37,0.08,0,0,17,0,0.05,0.08,0.7,0,0,0,0,0,0,6,0,0,6,0,10,4,5
ÂÞÍû×Ó,239,2.8,0.6,62.5,5.1,0.181,0.059,18,0,74,92,28,628,113,3.0558,43.176,2.8,0.1,1.3,0.086,0,9,3.5,0.1,0.428,0.152,1.938,8.6,0.143,0.066,14,0,0,0,14,0,139,18,0,0,0
ÁñÁ«,147,1.47,5.33,27.09,3.8,0,0,29,0,6,30,2,436,39,0.040018,3.084,0.43,0.28,0,0.207,0.325,13.2,19.7,0,0.374,0.2,1.074,0,0.23,0.316,36,0,0,0,0,0,0,0,0,0,0
ÈËÐÄ¹û,83,0.44,1.1,19.96,5.3,0.521,0.011,0,0,21,12,12,193,12,0.645,18.504,0.8,0.1,0.6,0.086,0,18,14.7,0,0,0.02,0.2,0,0.252,0.037,14,0,0,24,3,12,39,5,16,16,15
¹þÃÜ¹Ï,34,0.5,0.1,7.9,0.2,0.003,0.081,2036,27,4,19,26.7,190,19,0,41.17,0,0.13,1.1,0.01,0.01,1014.6,12,0,0.041,0.01,0.734,7.6,0.105,0.072,21,0,0.1,0,0,0,0,0,0,0,0
´Ì²Ë¼»£¨Êì¡¢¼ÓÑÎ£©,20,0.76,0.11,4.74,1.7,0.02,0.044,0,0,72,43,412,392,23,0.001926,635.304,0.73,0.18,1,0.029,0.133,0,1.7,0,0.018,0.031,0.294,0,0.097,0.042,22,0,0,0,0,0,0,0,0,0,0
´Ì²Ë¼»£¨Êì£©,22,0.76,0.11,5.33,1.7,0.02,0.044,0,0,72,43,176,392,23,0.001926,271.392,0.73,0.18,1,0,0.133,35.4,1.7,0,0.018,0.031,0.294,0,0.097,0.042,22,0,0,0,0,0,0,0,0,0,0
Ò®Â·ÈöÀä³¯ÏÊ¼»,73,2,0.01,17.44,1.6,0.004,0.001,12,0,14,17,4,429,78,0.0214,6.168,3.4,0.12,0.7,0.14,0.06,6,4,0.19,0.2,0.06,1.3,30,0.397,0.077,13,0,0,0,0,0,0,0,0,0,0
³¯ÏÊ¼»£¨È«Çò»ò·¨¹ú¡¢Êì£©,53,2.89,0.34,11.95,5.7,0.011,0.145,8,464,21,42,60,286,73,0.00535,92.52,0.61,0.4,0.2,0.127,0.225,3.9,7.4,0.19,0.05,0.089,1.11,34.4,0.24,0.081,89,0,0.2,0,0,0,0,0,0,0,0
³¯ÏÊ¼»,47,3.27,0.15,10.51,5.4,0.005,0.064,8,464,44,60,94,370,90,0.007704,144.948,1.28,0.49,0.2,0.231,0.256,3.9,11.7,0.19,0.072,0.066,1.046,34.4,0.338,0.116,68,0,0.2,0,0,0,0,0,0,0,0
×Ï»¨ÜÙÞ£ÖÖ×ÓÑ¿,23,3.99,0.69,2.1,1.9,0.056,0.409,93,6,32,27,6,79,70,0.008132,9.252,0.96,0.92,0.6,0.157,0.188,46.5,8.2,0.02,0.076,0.126,0.481,14.4,0.563,0.034,36,0,0.4,267,0,134,214,0,145,0,143
ÜÙÞ£×Ñ,359,36.4,8.7,39.9,12.4,0.056,0.409,93,6,595,0,0,0,520,0.04,0,59.5,0,0,0,0,46.5,8.2,0.02,0.41,0.21,0.7,14.4,0.563,0.034,36,0,0.4,267,0,134,214,0,145,0,143
èÛè½£¨èÛè½²Ë¡¢µØ¹Ç£©,47,5.6,1.1,4.5,1.6,0,0,0,0,36,74,29.8,170,32,0.01,45.95,2.4,0.21,0.35,0.21,0.37,0,58,2.99,0.08,0.32,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
×ÏÝàÏã²è²Ë,0,0,0,0,6.9,0,0,0,0,356,229,8.4,670,106,0,12.95,10.9,1.27,0,1.39,0.85,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÜÄÝ¤²Ë£¨°Ü½´²Ý£©,17,1.25,0.2,3.35,0.2,0.004,0.087,1300,0,218,52,7.5,237,30,5.69,11.56,9.7,0.49,0.2,1.07,0.55,650.1,33,0.05,0.08,0.075,0.4,16.8,0.9,0.02,142,0,0,98,14,50,63,5,63,23,72
×Ï»¨½Û¹£,0,0,0,0,2.9,0,0,0,0,46,27,16.7,24,53,0,25.75,3.6,0.4,0,0.1,0.21,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÜÙÞ££¨²ÝÍ·¡¢½ð»¨²Ë£©,64,3.9,1,10.9,2.1,0,0,0,0,713,61,5.8,497,78,48.41,8.94,9.7,2.01,8.53,0,0.79,0,118,0,0.1,0.73,2.2,0,0,0,0,0,0,440,163,205,296,36,266,101,251
Üñ²Ë£¨Ò°Üñ£©,13,0.7,0.2,2.7,1.2,0,0,0,0,89,9,109.4,262,26,0,168.69,1.1,0.42,1.5,0.05,0.19,0,5,0.27,0.02,0.02,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Þ§²Ë,42,1.6,0.4,9,1.8,0,0,2301,0,17,30,0,292,50,0,0,4.2,0.6,0,0.16,0.32,1085.1,23,0.78,0.02,0.21,4.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Þ§²Ë£¨ÍÑË®£©,302,6.6,0.9,79.7,25.5,0,0,0,0,851,82,20.4,59,253,0,31.46,23.7,18.11,6.34,2.79,2.31,0,3,0.53,0,0.16,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÝäÝï,57,3.7,0.7,9,0,0,0,0,0,17,2,1,40,8,0,1.54,0.5,0.2,0,0.05,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓãÐÈ²Ý£¨³ô²Ë£©,0,0,0,0,0.3,0,0,0,0,123,71,2.6,718,38,0.75,4.01,9.8,0.99,0,0.55,1.71,0,70,0,0,0,0,0,0,0.38,41.6,0,0,0,0,0,0,0,0,0,0
Ò°Ëâ£¨Ð¡Ëâ¡¢Ò°´Ð£©,34,1,0.4,7.7,2.2,0,0,0,0,89,13,17.2,231,38,0,26.52,1.2,0.5,1.23,0.03,0.26,0,28,0.24,0.03,0.12,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÏãÃ©,99,1.82,0.49,25.31,0.4,0.054,0.17,3,0,120,46,0,599,62,0.01,0,6,0.89,0,1.01,1.22,1.8,46,0,0.065,0.135,1.101,0,0.05,0.08,75,0,0,0,0,0,0,0,0,0,0
Ïã´»£¨Ïã´»Ñ¿£©,50,1.7,0.4,10.9,1.8,0,0,0,0,96,36,4.6,172,147,7.72,7.09,3.9,2.25,0.42,0.09,0.35,0,40,0.99,0.07,0.12,0.9,0,0,0,0,0,0,112,16,64,95,0,73,27,59
ÌÀ²Ë,24,1.8,0.5,3.4,0.8,0,0,0,0,131,36,28,239,27,0,43.18,5.8,0.12,0,0.13,0,0,57,1.55,0,0.68,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÓÜÇ®,45,4.8,0.4,7.6,4.3,0,0,0,0,62,47,0.7,134,104,0,1.08,7.9,3.27,0.36,0.24,0.78,0,11,0.54,0.04,0.12,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ËáÄ£,0,0,0,0,1,0,0,0,0,28,26,0,228,21,0,0,0.6,0.15,0,0.04,0.12,0,25,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÕäÖé»¨²Ë,0,0,0,0,0,0,0,0,0,155,63,0.7,495,35,0,1.08,5.5,0.74,0,0.21,0.85,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ê³ÓÃ»ÆÂé,34,4.65,0.25,5.8,0.3,0.017,0.12,0,0,398,55,8,562,103,24.67,12.34,4.1,0.69,0.9,0.38,1,1667.7,73,0.03,0.133,0.546,1.26,0,0.072,0.6,123,0,0,221,65,164,219,30,248,110,221
Ê³ÓÃ´ó»Æ,9,1.6,0.2,1.5,1.5,0.039,0.099,61,170,107,38,5,502,31,0,7.71,0.9,0.16,0,0.53,0.05,30.6,5,0,0.02,0.03,0,6.1,0.085,0.024,7,0,0,0,0,0,0,0,0,0,0
Çò¾¥ÜîÏã,31,1.24,0.2,7.3,0.3,0.068,0.169,578,607,71,31,77.2,655,71,0.18,119.04,0.9,0.37,0,0.24,0.14,288.9,12,1.74,0.01,0.032,0.64,13.2,0.232,0.047,27,0,0,0,0,0,0,0,0,0,0
ÆÑ¹«Ó¢Ò¶,53,4.8,1.1,7,2.1,0.014,0.306,6217,13731,216,54,76,327,93,0,117.19,4,0.35,0,0.44,0.58,3048.3,47,0.02,0.03,0.39,1.9,35.3,0.084,0.251,27,0,0,0,0,0,0,0,0,0,0
ÆÅÂÞÃÅ²Î£¨ºÚ£©,82,3.3,0.2,18.6,0.3,0,0,0,0,50,51,73.1,67,83,0.01,112.72,2.3,0.47,0,0.24,0.4,0,2,0.03,0.08,0.22,0.5,0,0.371,0.277,26,0,0,0,0,0,0,0,0,0,0
ÆÅÂÞÃÅ²Î,82,3.3,0.2,18.6,0.3,0,0,0,0,61,37,7.5,443,72,0.01,11.56,5.1,0.48,0,0.37,0.54,0,2,1.16,0.08,0.22,0.5,0,0.371,0.277,26,0,0,0,0,0,0,0,0,0,0
Åç¹Ï,0,0,0,0,0.3,0,0,0,0,74,22,2.9,203,35,0,4.47,2.3,0.28,0,0.33,0.12,0,17,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Å£ÖÁ,0,0,0,0,0.4,0,0,0,0,218,66,16.2,442,51,0,24.98,10.7,0.89,0,0.9,0.6,0,43,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶¹¸¯²ñ,0,0,0,0,7.8,0,0,0,0,126,38,0,444,97,0,0,6.2,1.36,0,0.22,12.68,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
µØ·ô,65,5.2,0.8,10.8,2.2,0,0,0,0,281,118,62.4,702,66,0.02,96.22,6.5,0.52,0,0.25,0.42,0,39,0,0.15,0.31,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÂÖÒ¶µ³²Î,0,0,0,0,4,0,0,0,0,68,54,0,89,87,0,0,2.8,0.5,0,0.27,0.25,0,29,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ÂÞÀÕ,26,3.8,0.64,4.6,3.9,0.088,0.389,3142,5696,285,106,5.7,576,65,15.22,8.79,4.4,0.52,0,0.91,0.68,1582.5,5,0.8,0,0,0,11.4,0.209,0.155,68,0,0.4,191,36,104,110,39,127,51,104
·¬ÐÓ,14,1.5,0.2,2.5,2.1,0.005,0.084,0,0,97,44,28,221,37,0,43.18,1.4,0.33,0,0.06,0.55,1320,46,1.42,0,0,0,0,0.312,0.304,15,0,0,0,0,0,0,0,0,0,0
ÂíÀ¼Í·,28,2.4,0.4,4.6,1.6,0,0,0,0,67,14,15.2,285,38,4.55,23.44,2.4,0.87,0.75,0.13,0.44,0,26,0.72,0.06,0.13,0.8,0,0,0,0,0,0,141,0,87,113,29,109,39,84
¶ÀÐÐ²Ë,0,0,0,0,1.6,0,0,0,0,188,42,120.8,335,124,0,186.27,4.7,0.9,0,0.06,0.36,0,55,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
¶ÀÐÐ²Ë£¨¿í£©,0,0,0,0,1.7,0,0,0,0,183,38,142.5,416,119,0,219.74,5.6,1.21,0,0.09,0.42,0,45,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
µØËñ,69,4.3,0.7,13.7,4.7,0,0,0,0,297,25,0,416,62,0,0,4.4,0.93,0,0.43,0.26,0,7,0,0.04,0.25,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
´Ìé±,42,2.71,0.11,7.49,8.1,0,0,1264,4178,495,109,0,1641,125,0,0,6.5,1.36,0,0.65,6.13,603.3,4,0,0.008,0.16,0.388,17.4,0,0.103,14,0,21.4,0,0,0,0,0,0,0,0
Ð¡¼»,42,4.5,0.4,5.9,1.8,0,0,0,0,252,36,0.2,253,40,0,0.31,2.3,0.24,0,0.36,0.2,0,44,0.01,0.04,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
³¯ÏÊ¼»,54,2.7,0.2,10.9,1.1,0.005,0.064,8,464,255,47,164.5,220,88,0.01,253.66,1.6,0.44,0,0.07,0.66,3.9,11,0.19,0.08,0.06,0.8,34.4,0.338,0.116,68,0,0.2,0,0,0,0,0,0,0,0
°Ü½´,69,1.5,1,17.3,7.5,0,0,0,0,235,80,1.3,456,113,0,2,3.6,1.02,0,0.5,16.41,0,52,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°ÙÀïÏã£¨É½½·¡¢÷êÏã²Ý£©,101,5.56,1.68,24.45,0.2,0.081,0.532,2851,0,218,104,36.4,470,42,0,56.13,27.9,0.72,0,1.08,0.94,1425.3,0,0.11,0,0,0,0,0.409,0.348,45,0,0,262,0,154,126,114,307,0,285
µØ¹ÏÒ¶,60,4.8,0.7,9,1,0.02,0.228,2259,14778,174,66,41.6,495,40,31.05,64.15,3.4,0.32,0,0.64,1.41,1133.4,56,0,0.13,0.28,1.4,0,0.225,0.19,0,0,0,0,86,0,228,35,0,0,0
°×»¨½Û¹£,0,0,0,0,2.9,0,0,0,0,44,41,12.2,146,106,0,18.81,3.1,0.21,0,0.05,0.02,0,36,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°×»¨²Ë,0,0,0,0,0,0,0,0,0,26,33,215.2,152,6,0,331.84,0.6,0.18,0,0.05,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
°¬Ýï,0,0,0,3.6,3.6,0,0,0,0,137,54,0,677,60,0,0,7.7,0.78,0,0.28,0.84,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
É½Ò©£¨Êì£©,116,1.49,0.14,27.48,3.9,0.005,0.06,73,0,14,18,8,670,49,9.11617,12.336,0.52,0.2,0.7,0.152,0.371,36.6,12.1,0.34,0.095,0.028,0.552,16.2,0.311,0.228,16,0,0,94,20,52,58,12,60,33,50
¾ÕÓó£¨Ñó½ª£©,64,2.4,0,15.8,4.3,0.004,0.001,0,0,23,24,11.5,458,27,0,17.73,7.2,0.34,1.31,0.19,0.21,6,5,0.19,0.01,0.1,1.4,0,0,0.077,13,0,0,0,0,0,0,0,0,0,0
½ª£¨×Ó½ª£©,21,0.7,0.6,3.7,0.9,0,0,0,0,9,24,1.9,160,11,0,2.93,0.8,0.17,0.1,0.03,3.38,0,2,0,0,0.01,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
½ª£¨¸É£©,308,9.1,5.7,64,17.7,0,0,0,0,62,0,104.2,269,17,0,160.68,0.4,0.95,3.08,0.63,0.23,0,0,0.44,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
½ª,46,1.3,0.6,10.3,2.7,0.154,0.154,0,0,27,44,14.9,295,25,5.36,22.98,1.4,0.34,0.56,0.14,3.2,0,4,0,0.02,0.03,0.8,28.8,0.203,0.16,11,0,0,90,15,92,35,17,43,27,57
